Date,Open,High,Low,Close,Adj Close,Volume
01-01-02,6.002898198,6.002898198,6.002898198,6.002898198,2.998552227,2898006967
02-01-02,5.992635033,6.115197198,5.829285132,6.094770066,3.044443875,2898006967
03-01-02,6.094770066,6.094770066,6.094770066,6.094770066,3.044443875,2898006967
04-01-02,5.8905,6.002898198,5.870106132,5.8905,2.942407776,1932004645
07-01-02,5.921157033,6.023292066,5.829285132,5.951846802,2.973051213,1932004645
08-01-02,5.992635033,6.227462967,5.992635033,6.176412033,3.085225572,1932004645
09-01-02,6.217199802,6.227462967,6.033456033,6.084506934,3.039317589,1932004645
10-01-02,5.992635033,6.176412033,5.941584132,6.176412033,3.085225572,1932004645
11-01-02,6.166248099,6.166248099,5.757807132,5.859942165,2.927142966,1932004645
14-01-02,5.717018868,6.053849901,5.717018868,6.013062165,3.003629178,1932004645
15-01-02,6.013062165,6.298940967,6.013062165,6.278547099,3.136243737,2898006967
16-01-02,6.635772,6.717513165,6.452028198,6.676592967,3.335074083,2898006967
17-01-02,6.533768868,6.615378099,6.380550198,6.615378099,3.304497108,1932004645
18-01-02,6.635772,7.074770769,6.543900099,6.962471802,3.477875775,2898006967
21-01-02,6.993128802,7.370912736,6.993128802,7.248383835,3.620693307,1932004645
22-01-02,7.248383835,7.666956033,7.146248802,7.656692868,3.824651721,2898006967
23-01-02,7.554657033,7.717908231,7.125822198,7.146248802,3.569675142,2898006967
24-01-02,7.146248802,7.299336033,6.942077901,7.217694066,3.605364312,2898006967
25-01-02,7.534163967,7.626035835,7.248383835,7.258515066,3.625754649,3.86E+09
28-01-02,7.176905835,7.289172099,7.054344165,7.064606835,3.528894435,1932004645
29-01-02,7.013555934,7.176905835,6.993128802,7.095165165,3.544158255,1932004645
30-01-02,6.993128802,7.085033934,6.942077901,6.962471802,3.477875775,1932004645
31-01-02,6.962471802,6.962471802,6.962471802,6.962471802,3.477875775,1932004645
01-02-02,6.778728,6.788991165,6.635772,6.635772,3.314682987,1932004645
04-02-02,6.635772,6.890993769,6.635772,6.727643868,3.360574866,1932004645
05-02-02,6.727643868,6.962471802,6.727643868,6.962471802,3.477875775,1932004645
06-02-02,7.146248802,7.289172099,7.105427802,7.248383835,3.620693307,2898006967
07-02-02,7.248383835,7.248383835,7.248383835,7.248383835,3.620693307,2898006967
08-02-02,7.248383835,7.248383835,7.248383835,7.248383835,3.620693307,2898006967
11-02-02,7.248383835,7.248383835,7.248383835,7.248383835,3.620693307,2898006967
12-02-02,7.248383835,7.248383835,7.248383835,7.248383835,3.620693307,2898006967
13-02-02,7.248383835,7.248383835,7.248383835,7.248383835,3.620693307,2898006967
14-02-02,7.248383835,7.248383835,7.248383835,7.248383835,3.620693307,2898006967
15-02-02,7.248383835,7.248383835,7.248383835,7.248383835,3.620693307,2898006967
18-02-02,7.421864967,7.421864967,7.054344165,7.054344165,3.52376739,1932004645
19-02-02,7.095165165,7.207464165,6.993128802,6.993128802,3.49318992,1932004645
20-02-02,6.993128802,7.125822198,6.993128802,6.993128802,3.49318992,1932004645
